Name,Country,Start year,End year,Proven victims,Possible victims,Notes,Continent,Country Sorted,Killer Type,Decade
Slamet Tohari,Indonesia,2020,2023,12,24,"Swindler who was convicted of 12 murders by cyanide poisoning committed in Central Java between 2020 and 2023. He confessed to ""dozens"" of murders. Sentenced to death in 2024.",Asia,Indonesia,Male,2020s
Vladimir Romanov,"Soviet Union, Russia",1991,2005,12,20,"Known as the ""Kaliningrad Maniac""; a child rapist who murdered girls and young women in the Kaliningrad Oblast; killed himself while imprisoned.",Multiple continents,Multiple Countries,Male,1990s
Maury Travis,United States,2000,2002,12,17,Killed sex workers in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Killed himself by hanging in prison.,North America,United States,Male,2000s
Dennis Nilsen,United Kingdom,1978,1983,12,15,"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home. Died from surgical complications in 2018.",Europe,United Kingdom,Male,1970s
Kenneth Bianchi,United States,1977,1978,12,15,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life.",North America,United States,Male,1970s
Enriqueta Martí,Spain,,1912,12,12,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow inmates while awaiting trial in 1913. Recent investigations by writer Jordi Corominas and historian Elsa Plaza question the popular version of the black legend of Enriqueta Martí and warned about multiples misinformation, because Enriqueta ""was never formally charged with murder nor was any corpse of a child found in her home.""",Europe,Spain,Female,<NA>s
Abdallah al-Hubal,Yemen,1990,1998,12,12,"Killed seven people after Yemeni unification; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police.",Asia,Yemen,Male,1990s
Nikolai Shestakov,Soviet Union,1975,1984,12,12,"Known as the ""Luberetsky Maniac""; truck driver who raped and killed girls and young women; supposedly executed in 1977.",Multiple continents,Soviet Union,Male,1970s
Joseph Christopher,United States,1980,1981,12,12,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.",North America,United States,Male,1980s
"""Paraquat murders"" killer",Japan,1985,1994,12,12,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.,Asia,Japan,Male,1980s
Siswanto,Indonesia,1994,1996,12,12,"Alias Robot Gedek. Homeless man that killed 12 boys. Sentenced to death on May 21, 1997. Died in prison on March 26, 2007.",Asia,Indonesia,Male,1990s
Sergey Golovkin,"Soviet Union, Russia",1986,1992,11,40,Killed at least 11 boys in the Moscow area between 1986 and 1992. Executed by gunshot in 1996; last person executed in Russia before the death penalty was abolished.,Multiple continents,Multiple Countries,Male,1980s
Tiago Henrique Gomes da Rocha,Brazil,2011,2014,11,39,"Gomes da Rocha was a Brazilian security guard who confessed to the murders of 39 people. He was sentenced to 25 years in prison for 11 murders, and attempted suicide while incarcerated.",South America,Brazil,Male,2010s
Herb Baumeister,United States,1990,1996,11,23,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Died after shooting himself when faced with arrest.,North America,United States,Male,1990s
Zhang Yongming,China,2008,2012,11,18,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.,Asia,China,Male,2000s
Jack Unterweger,"Austria, United States, Czechoslovakia",1974,1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine sex workers after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three sex workers. Hanged himself in 1994 after being sentenced to life in prison.",Europe,Multiple Countries,Male,1970s
Vaughn Greenwood,United States,1964,1975,11,13,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drunk their blood. Sentenced to imprisonment for life.",North America,United States,Male,1960s
Anthony Sowell,United States,2007,2009,11,11,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.",North America,United States,Male,2000s
Henri Désiré Landru,France,1915,1919,11,11,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922.",Europe,France,Male,1910s
Nannie Doss,United States,1927,1954,11,11,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59.",North America,United States,Male,1920s
Marie Alexandrine Becker,Belgium,1933,1936,11,11,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.,Europe,Belgium,Female,1930s
Seisaku Nakamura,Japan,1938,1942,11,11,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having been born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging.",Asia,Japan,Male,1930s
Robledo Puch,Argentina,1971,1980,11,11,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.,South America,Argentina,Male,1970s
Clifford Olson,Canada,1980,1981,11,11,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011.",North America,Canada,Male,1980s
Francisco García Escalero,Spain,1987,1994,11,11,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 sex workers and other homeless people between 1987 and 1994. Died in 2014.",Europe,Spain,Male,1980s
Henry Louis Wallace,United States,1990,1994,11,11,"Murdered 11 black women in Charlotte, North Carolina. The victims were all women that he knew.",North America,United States,Male,1990s
Benjamin Atkins,United States,1991,1992,11,11,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.",North America,United States,Male,1990s
Adnan Çolak,Turkey,1992,1995,11,11,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.,Asia,Turkey,Male,1990s
Andre Crawford,United States,1993,1999,11,11,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.,North America,United States,Male,1990s
Francisco de Assis Pereira,Brazil,1997,1998,11,11,"Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years.",South America,Brazil,Male,1990s
Barnaul Maniac,Russia,1997,2000,11,11,The Barnaul Maniac was an unidentified Russian serial killer who murdered nine women and two girls in the city of Barnaul and the village of Buranovo. The main suspect was arrested in October 2000 but killed himself in jail in November that year.,Europe,Russia,Male,1990s
Gao Chengyong,China,1998,2002,11,11,"Known as ""Chinese Jack the Ripper""; killed women and then mutilated their corpses. Executed in 2019.",Asia,China,Male,1990s
Yevgeny Petrov,Russia,1998,2003,11,11,"Known as the ""Novouralsk Ripper""; a child rapist who kidnapped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment.",Europe,Russia,Male,1990s
Ruslan Khamarov,Ukraine,2000,2003,11,11,"Seduced, raped and then killed women in his home; sentenced to life imprisonment.",Europe,Ukraine,Male,2000s
West Mesa Killer,United States,2003,2005,11,11,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.",North America,United States,Male,2000s
Very Idham Henyansyah,Indonesia,2006,2008,11,11,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death.",Asia,Indonesia,Male,2000s
Roshu Kha,Bangladesh,2008,2017,11,11,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.,Asia,Bangladesh,Male,2000s
Martin Lecián,Czechoslovakia,1927,1936,11,11,Responsible for killing 10 policemen and 1 prison officer. Executed in 1927.,Europe,Czechoslovakia,Male,1920s
Lonnie David Franklin Jr.,United States,1985,2007,10,25,"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death. On March 28, 2020, Franklin was found dead in his cell.",North America,United States,Male,1980s
Rudolf Pleil,West Germany,1946,1947,10,25,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25. Killed himself by hanging in 1958.",Europe,West Germany,Male,1940s
Milton Johnson,United States,1983,1992,10,17,"Known as ""The Weekend Murderer"" killed up to 17 people. Sentenced to life without parole.",North America,United States,Male,1980s
Long Island serial killer,United States,1996,2010,10,16,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.",North America,United States,Unidentified,1990s
Daniel Lee Siebert,United States,1979,1986,10,13,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim. Sentenced to death; died from cancer in prison in 2008.,North America,United States,Male,1970s
Sergey Cherny,Russia,1999,2008,10,11,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.,Europe,Russia,Male,1990s
Jeanne Weber,France,1905,1908,10,10,Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison in 1918.,Europe,France,Female,1900s
Nikolai Dzhumagaliev,Soviet Union,1979,1991,10,10,Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insanity and interned in a mental institution.,Multiple continents,Soviet Union,Male,1970s
Bobby Joe Long,United States,1984,1993,10,10,"Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019.",North America,United States,Male,1980s
Stewart Wilken,South Africa,1990,1997,10,10,"Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990 to 1997. Sentenced to seven life terms.",Africa,South Africa,Male,1990s
Viktor Fokin,Russia,1996,2000,10,10,"Known as the ""Grandfather Ripper""; pensioner who lured, killed and then dismembered sex workers and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony.",Europe,Russia,Male,1990s
David Randitsheni,South Africa,2004,2008,10,10,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.",Africa,South Africa,Male,2000s
Edmund Kemper,United States,1964,1973,10,10,"Known as ""The Co-ed Butcher."" At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life.",North America,United States,Male,1960s
Dennis Rader,United States,1974,2004,10,10,"Known as the BTK Killer. Murdered 10 people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. Sentenced to life imprisonment with no parole for 175 years.",North America,United States,Male,1970s
Stanislav Rogolev,Soviet Union,1980,1982,10,10,"Known as ""Agent 000""; killed and raped women, managing to avoid capture through suspected knowledge of the investigation against him; executed by firing squad in 1984.",Multiple continents,Soviet Union,Male,1980s
Oleg Kuznetsov,"Soviet Union, Russia, Ukraine",1991,1992,10,10,"Robbed, raped and killed people around Russia and Ukraine; sentenced to death but commuted to life imprisonment.",Multiple continents,Multiple Countries,Male,1990s
Satish,India,1995,1998,10,10,"Killed 10 girls who were between the ages of five and nine. He was arrested from Bahadurgargh, Haryana after a long chase by Haryana police.",Asia,India,Male,1990s
Eduard Shemyakov,Russia,1996,1998,10,10,"Known as the ""Resort Maniac""; Ukrainian who raped, killed and dismembered women in St. Petersburg, supposedly cannibalizing one of the victims; sentenced to compulsory treatment.",Europe,Russia,Male,1990s
Ali Kaya,Turkey,1997,2006,10,10,"Known as ""The Baby Faced Killer""; responsible for 10 murders. Escaped from prison and later recaptured.",Asia,Turkey,Male,1990s
Chen Yongfeng,China,2003,2012,10,10,"Known as ""The Butcher""; killed and dismembered 10 people at his house in the city of Wenzhou in the Zhejiang province within the span of a few months.",Asia,China,Male,2000s
Zhou Kehua,China,2004,2012,10,10,"A former soldier who targeted ATM users. He killed 10 people and evaded the law for eight years, before being shot in a shootout with police after a year-long manhunt.",Asia,China,Male,2000s
Kang Ho-sun,South Korea,2006,2008,10,10,"Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.",Asia,South Korea,Male,2000s
Masten Wanjala,Kenya,2015,2021,10,10,"Described as a ""bloodthirsty vampire""; confessed to killing and drinking the blood of multiple children in Nairobi and led police to the bodies of some of the victims. Wanjala escaped from police custody while awaiting trial, but was later found in Bungoma County and murdered by angry locals.",Africa,Kenya,Male,2010s
Louis van Schoor,South Africa,1986,1989,9,100,"Former security guard who was convicted of seven murders and two assassinations, but confessed to a reporter that he murdered 100 people; sentenced to 20 years in prison and released on parole in 2004.",Africa,South Africa,Male,1980s
Peter Kürten,"German Empire, Germany",1913,1930,9,79,"Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.",Europe,Multiple Countries,Male,1910s
Roger Dale Stafford,United States,1974,1978,9,34,"Killed nine people in two states, including a family of three; his wife implicated him in 34 total murders in different states; executed by lethal injection in 1995.",North America,United States,Male,1970s
Norman Afzal Simons,South Africa,1986,1994,9,22,"Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town. Sentenced to imprisonment for life.",Africa,South Africa,Male,1980s
Francis Heaulme,France,1984,1992,9,20,"Convicted of killing nine people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.",Europe,France,Male,1980s
Joel Rifkin,United States,1989,1993,9,17,"Known as ""The Drifter"", killed sex workers in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer. Sentenced to 203 years to imprisonment for life.",North America,United States,Male,1980s
Dagmar Overbye,Denmark,1913,1920,9,15,"Murdered between nine and 25 children—of which one was her own—during a seven-year period. In 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child minder, caring for babies born outside of marriage, murdering her charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft. Died in prison in 1929.",Europe,Denmark,Male,1910s
Kenneth McDuff,United States,1966,1992,9,14,"Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder was commuted. Killed again three days after 1989 parole and 10 further times in Waco, Texas until 1992. Executed by lethal injection in 1998.",North America,United States,Male,1960s
Robert Joseph Silveria Jr.,United States,1981,1996,9,14,"Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more.",North America,United States,Male,1980s
Dr. No,United States,1981,1990,9,12,"Supposedly murdered sex workers and exotic dancers; his first victim was Marcia King, who was identified in 2018.",North America,United States,Male,1980s
Richard Biegenwald,United States,1958,1983,9,11,"Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders. Died of respiratory and kidney failure in 2008.",North America,United States,Male,1950s
New Bedford Highway Killer,United States,1988,1989,9,11,Unidentified serial killer who killed nine women and disappearance of two others between 1988 and 1989.,North America,United States,Male,1980s
Alexander Bychkov,Russia,2009,2012,9,11,Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.,Europe,Russia,Male,2000s
Maryvale serial shooter,United States,2015,2016,9,11,"Motorist who shot 12 people in separate events in Phoenix, Arizona, killing nine. Aaron Saucedo was charged with the shootings and two additional murders in 2017.",North America,United States,Male,2010s
Edgecombe County Serial Killer,United States,2000,,9,10,"Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.",North America,United States,Unidentified,2000s
Sergei Martynov,Russia,1992,2010,9,9,Convicted of raping and murdering a woman in 1992. Sentenced to life imprisonment for killing eight more women during a violent crime spree between 2005 and 2010.,Europe,Russia,Male,1990s
Lloyd Gomez,United States,1950,1951,9,9,"Known as ""The Phantom Hobo Killer""; homeless man who killed other homeless men across California in the early 1950s.",North America,United States,Male,1950s
Timothy Krajcir,United States,2000,,9,9,"Killed nine women across Pennsylvania, Illinois, Kentucky and Missouri (five in Cape Girardeau) in the 1970s and 1980s.",North America,United States,Male,2000s
Anatoly Utkin,Soviet Union,1968,1973,9,9,"Known as ""Ulyanovsky maniac""; killed 8 girls and 1 man from 1968 to 1973; executed 1975.",Multiple continents,Soviet Union,Male,1960s
Gilberto Chamba,"Ecuador, Spain",1988,2004,9,9,"Taxi driver known as ""The Monster of Machala"", between 1988 and 1993 abducted 10 of his passengers (all lone female students) in this Ecuadorian city and killed 8, often raping them after with a stick. Though sentenced to 16 years in prison, he benefitted from an amnesty campaign in 2000 that also cleared his criminal record and moved to Spain, where he was arrested for the rape and murder of another student and the attempted rape and murder of a prostitute in 2004. Sentenced in 2005 to 45 years in prison.",South America,Multiple Countries,Male,1980s
Ondrej Rigo,"Czechoslovakia, Germany, Netherlands",1990,1992,9,9,"Slovak serial killer and necrophile who committed his murders during the early 1990s in Slovakia, Germany and the Netherlands. He was arrested in 1992 and received a life sentence in 1994. He remains the murderer with the biggest number of victims in the modern history of Slovakia.",Europe,Multiple Countries,Male,1990s
Alfred Gaynor,United States,1995,1998,9,9,"Crack cocaine addict. Killed nine women in Massachusetts. Sentenced to life in prison on May 19, 2000.",North America,United States,Male,1990s
Mark Goudeau,United States,2005,2006,9,9,"Known as ""The Baseline Killer""; convicted of nine murders in Phoenix, Arizona.",North America,United States,Male,2000s
Keith Hunter Jesperson,United States,1990,1995,8,160,"Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing eight women by strangulation.",North America,United States,Male,1990s
Rodney Alcala,United States,1971,1979,8,130,"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher.",North America,United States,Male,1970s
Ottis Toole,United States,1980,1983,8,112,"Initially convicted of three counts of murder, later pleaded guilty to four more murders before dying in prison. A sometime accomplice of convicted serial killer Henry Lee Lucas, Toole admitted to—and retracted multiple times—over 100 counts of murder, rape, arson and cannibalism, and was suspected in several other unsolved murders. In 2008, police announced that they had identified Toole as the likely murderer of Adam Walsh, and would be closing the case as a result.",North America,United States,Male,1980s
Kiyotaka Katsuta,Japan,1982,1983,8,22,"Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.",Asia,Japan,Male,1980s
Joseph Paul Franklin,United States,1977,1980,8,20,White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.,North America,United States,Male,1970s
Pierre Chanal,France,1980,1988,8,17,Military instructor suspected of killing boys and men in Marne; killed himself before trial.,Europe,France,Male,1980s
Christopher Wilder,United States,1984,1993,8,13,Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.,North America,United States,Male,1980s
Axeman of New Orleans,United States,1918,1919,8,12,Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.,North America,United States,Unidentified,1910s
Vladimir Retunsky,Russia,1990,1996,8,12,"Known as the ""Povorinsky Maniac""; kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015.",Europe,Russia,Male,1990s
Gilbert Paul Jordan,Canada,1965,1987,8,10,"Known as the ""Boozing Barber"", he would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths were reported as alcohol poisoning and generally ignored by police as the intentional murders blended in with the common occurrence in that neighbourhood. Died in 2006.",North America,Canada,Male,1960s
Frankford Slasher,United States,1985,1990,8,9,"Allegedly responsible for nine murders in the Frankford neighborhood of Philadelphia, Pennsylvania; Leonard Christopher was convicted of one murder; another murder was committed in same style while he was incarcerated; believed to still be at large.",North America,United States,Male,1980s
Kendall Francois,United States,1996,1998,8,9,"Admitted to killing eight sex workers in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute.",North America,United States,Male,1990s
Hilda Nilsson,Sweden,1915,1917,8,8,"Known as the ""baby farming"" killer; she killed babies she received custody of by drowning them in a wash basin. Convicted for the murder of seven infants and the manslaughter of an eighth. She was the last Swede sentenced to death whose sentence was not commuted.",Europe,Sweden,Male,1910s
Yoshio Kodaira,"China, Japan",1932,1946,8,8,"A serial rapist, Kodaira killed his father-in-law in 1932 and seven to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949.",Asia,Multiple Countries,Male,1930s
John Christie,United Kingdom,1943,1953,8,8,"Serial killer and alleged necrophile active during the 1940s and early 1950s. He murdered at least eight people—including his wife, Ethel—by strangling them in his flat at 10 Rillington Place, Notting Hill, London. The bodies of three of Christie's victims were found in a wallpaper-covered kitchen alcove soon after Christie moved out of Rillington Place during March 1953. The remains of two more victims were discovered in the garden, and his wife's body was found beneath the floorboards of the front room. Christie was arrested and convicted of his wife's murder, for which he was hanged.",Europe,United Kingdom,Male,1940s
Eric Edgar Cooke,Australia,1958,1963,8,8,"Known as the ""Night Caller"" and later the ""Nedlands Monster""; killed at least eight people and attempted to kill at least fourteen in and around Perth between 1959 and 1963; he was the last person to be hanged in Western Australia.",Oceania,Australia,Male,1950s
Forest City Killer,Canada,1969,1970,8,8,"Unidentified serial killer from the late 1960s to early 1970s. Based on the number of unsolved murders of women in the era, there is probably at least one other victim.",North America,Canada,Unidentified,1960s
John Edward Robinson,United States,1984,2000,8,8,"Known as ""The Slavemaster""; lured victims through the internet.",North America,United States,Male,1980s
Bruce McArthur,Canada,2010,2017,8,8,"One of the oldest known serial killers, active at 65, he lured men to secret sexual encounters involving drugs and bondage, killed them and dismembered their bodies which he hid in garden planters.",North America,Canada,Male,2010s
Paul Ogorzow,Germany,1940,1941,8,8,"Known as the ""S-Bahn murderer""; SA sergeant convicted of raping and murdering eight women by throwing them off trains in Berlin during blackouts in 1941 and 1942. Executed by guillotine at the Plötzensee Prison on July 26, 1941.",Europe,Germany,Male,1940s
Genzo Kurita,Japan,1948,1952,8,8,"Serial rapist and murderer, engaging in necrophilia in two of his murders. Two other victims were the children of the woman he targeted, who Kurita threw off a cliff (a third child survived). Hanged in 1959.",Asia,Japan,Male,1940s
Marie Noe,United States,1949,1968,8,8,Murdered eight of her children between 1949 and 1968.,North America,United States,Male,1940s
Kiyoshi Okubo,Japan,1971,1980,8,8,"Raped and murdered eight women aged 17 to 21 upon his release from prison, where he had been for previous rapes. Hanged in 1976.",Asia,Japan,Male,1970s
Marybeth Tinning,United States,1972,1983,8,8,"Suffocated eight of her nine children during the 1970s. One daughter died of natural causes shortly after birth, the first of the Tinning children to die.",North America,United States,Female,1970s
Michael Bruce Ross,United States,1981,1984,8,8,"Ross confessed to all of the murders, and was convicted of four of them. He was executed by the state of Connecticut on May 13, 2005 by lethal injection, making it the first execution in Connecticut and the whole of New England since 1960.",North America,United States,Male,1980s
Gary C. Evans,United States,1985,1998,8,8,"Befriended the Son of Sam killer while incarcerated. Released in 1984, he proceeded to burglarize and kill while in and out of jails for over 13 years. Aided investigators in a high profile murder case before dodging parole and being chased. The manhunt finally ended when he jumped to his death off a bridge.",North America,United States,Male,1980s
Colonial Parkway Killer,United States,1986,1989,8,8,Believed to have murdered at least eight people in Virginia between 1986 and 1989; left three couples dead and one couple missing and presumed dead.,North America,United States,Male,1980s
Sean Vincent Gillis,United States,1994,2003,8,8,"Kidnapped, raped, and mutilated the corpses of Louisiana women.",North America,United States,Male,1990s
Vladimir Mukhankin,Russia,1995,1996,8,8,"Known as ""The pupil of Chikatilo""; he killed 8 women.",Europe,Russia,Male,1990s
Manuel Delgado Villegas,"Spain, France, Italy",1964,1971,7,48,"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including his girlfriend, whom he strangled during sex), but police only investigated him for 22 murders in Spain and was considered proven author of seven. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.",Europe,Multiple Countries,Male,1960s
Ershad Sikder,Bangladesh,1991,1999,7,43,Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convicted on seven counts and executed 2004.,Asia,Bangladesh,Male,1990s
Diego Alexánder Ruiz Restrepo,Chile,2018,2020,7,27,"Known as the ""Psycopath of Meiggs"". Illegal Colombian immigrant who has been living in Chile since 2013, often resorting to robbing and killing homeless people. Although he has had only 8 confirmed victims, he is currently being investigated for 20 more, which, if confirmed, would turn him into the most murderous serial killer in Chilean history.",South America,Chile,Male,2010s
Ivan Milat,Australia,1990,,7,30,Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.,Oceania,Australia,Male,1990s
Reta Mays,United States,2017,2018,7,20,"Nursing assistant who killed elderly military veterans at a VA hospital in Clarksburg, West Virginia by injecting them with lethal doses of insulin.",North America,United States,Female,2010s
Stockton serial shootings,United States,2021,2022,7,8,"On October 15, 2022, a Stockton man, Wesley Brownlee, was arrested in connection to the shootings.",North America,United States,Male,2020s
Michael Wayne McGray,"Canada, United States",1985,1988,7,18,"Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, killed a cellmate in 2010.",North America,Multiple Countries,Male,1980s
Łódź Gay Murderer,Poland,1988,1993,7,7,"Unidentified serial killer who killed gay men in Łódź, estimated to have killed 7 people.",Europe,Poland,Unidentified,1980s
John Floyd Thomas Jr.,United States,1957,2009,7,15,Serial murderer and rapist with one of the longest criminal careers in the US.,North America,United States,Male,1950s
Kenneth Erskine,United Kingdom,1986,1995,7,11,"Known as ""The Stockwell Strangler"", he was a burglar who raped and strangled at least seven elderly women after breaking into their homes.",Europe,United Kingdom,Male,1980s
David Carpenter,United States,1979,1981,7,11,"Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.",North America,United States,Male,1970s
Vladimir Kuzmin,Russia,1997,2006,7,11,"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment.",Europe,Russia,Male,1990s
Tommy Recco,France,1960,1980,7,10,"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.",Europe,France,Male,1960s
Derrick Todd Lee,United States,2002,2011,7,10,"Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders. Believed to have murdered several other women in Louisiana, Mississippi and Alabama. Sentenced to death, died in 2016.",North America,United States,Male,2000s
Tomás Maldonado Cera,Colombia,2002,2018,7,10,"Known as ""The Satanist""; killed people in Barranquilla for the purpose of satanic rituals.",South America,Colombia,Male,2000s
Peter Manuel,United Kingdom,1956,1958,7,9,"Hanged in 1958 after being convicted of seven murders at a sensational trial in Glasgow, may have committed two more.",Europe,United Kingdom,Male,1950s
